,store_id_x,product_id_x,product_url,product_gender
1,1,260541366,www.tesco.com/groceries/en-GB/products/260541366,2.0
2,1,325227072,www.tesco.com/groceries/en-GB/products/325227072,1.0
5,1,312715962,www.tesco.com/groceries/en-GB/products/312715962,2.0
6,1,253067199,www.tesco.com/groceries/en-GB/products/253067199,0.0
7,1,325237711,www.tesco.com/groceries/en-GB/products/325237711,1.0
9,1,294873841,www.tesco.com/groceries/en-GB/products/294873841,2.0
10,1,284210121,www.tesco.com/groceries/en-GB/products/284210121,2.0
11,1,325111813,www.tesco.com/groceries/en-GB/products/325111813,2.0
12,1,297519981,https://www.tesco.com/groceries/en-GB/products/297519981,2.0
13,1,314321606,https://www.tesco.com/groceries/en-GB/products/314321606,1.0
14,1,271159023,www.tesco.com/groceries/en-GB/products/271159023,0.0
16,1,253348268,www.tesco.com/groceries/en-GB/products/253348268,2.0
17,1,315562630,www.tesco.com/groceries/en-GB/products/315562630,0.0
19,1,325116560,www.tesco.com/groceries/en-GB/products/325116560,2.0
20,1,309168582,www.tesco.com/groceries/en-GB/products/309168582,2.0
21,1,317752483,www.tesco.com/groceries/en-GB/products/317752483,0.0
22,1,316928329,www.tesco.com/groceries/en-GB/products/316928329,2.0
23,1,279544654,www.tesco.com/groceries/en-GB/products/279544654,1.0
24,1,278411612,www.tesco.com/groceries/en-GB/products/278411612,0.0
26,1,313613424,www.tesco.com/groceries/en-GB/products/313613424,0.0
27,1,291661238,www.tesco.com/groceries/en-GB/products/291661238,2.0
28,1,305042662,www.tesco.com/groceries/en-GB/products/305042662,0.0
29,1,325115179,www.tesco.com/groceries/en-GB/products/325115179,0.0
31,1,315964903,www.tesco.com/groceries/en-GB/products/315964903,2.0
32,1,310137897,www.tesco.com/groceries/en-GB/products/310137897,2.0
33,1,266423023,www.tesco.com/groceries/en-GB/products/266423023,0.0
34,1,309165798,www.tesco.com/groceries/en-GB/products/309165798,0.0
35,1,263727607,www.tesco.com/groceries/en-GB/products/263727607,1.0
36,1,255317235,www.tesco.com/groceries/en-GB/products/255317235,0.0
37,1,325115144,www.tesco.com/groceries/en-GB/products/325115144,2.0
38,1,315242447,www.tesco.com/groceries/en-GB/products/315242447,0.0
40,1,305252315,www.tesco.com/groceries/en-GB/products/305252315,0.0
41,1,288502098,www.tesco.com/groceries/en-GB/products/288502098,2.0
42,1,311434938,www.tesco.com/groceries/en-GB/products/311434938,1.0
43,1,325227066,www.tesco.com/groceries/en-GB/products/325227066,1.0
45,1,301327672,www.tesco.com/groceries/en-GB/products/301327672,1.0
46,1,325124989,www.tesco.com/groceries/en-GB/products/325124989,1.0
47,1,314098616,www.tesco.com/groceries/en-GB/products/314098616,2.0
49,1,325227062,www.tesco.com/groceries/en-GB/products/325227062,1.0
50,1,317859674,https://www.tesco.com/groceries/en-GB/products/317859674,2.0
51,1,315573381,www.tesco.com/groceries/en-GB/products/315573381,0.0
54,1,325328654,https://www.tesco.com/groceries/en-GB/products/325328654,2.0
57,1,325116068,www.tesco.com/groceries/en-GB/products/325116068,0.0
58,1,313624083,www.tesco.com/groceries/en-GB/products/313624083,2.0
59,1,314687052,www.tesco.com/groceries/en-GB/products/314687052,0.0
60,1,325112746,www.tesco.com/groceries/en-GB/products/325112746,0.0
61,1,268394888,www.tesco.com/groceries/en-GB/products/268394888,0.0
62,1,325115183,www.tesco.com/groceries/en-GB/products/325115183,2.0
63,1,325124987,www.tesco.com/groceries/en-GB/products/325124987,1.0
64,1,282185003,www.tesco.com/groceries/en-GB/products/282185003,2.0
65,1,254095019,www.tesco.com/groceries/en-GB/products/254095019,1.0
66,1,325255023,www.tesco.com/groceries/en-GB/products/325255023,0.0
67,1,294901210,www.tesco.com/groceries/en-GB/products/294901210,2.0
68,1,314926219,www.tesco.com/groceries/en-GB/products/314926219,2.0
70,1,325227055,www.tesco.com/groceries/en-GB/products/325227055,1.0
71,1,316058863,www.tesco.com/groceries/en-GB/products/316058863,0.0
73,1,312087258,www.tesco.com/groceries/en-GB/products/312087258,1.0
74,1,325112736,www.tesco.com/groceries/en-GB/products/325112736,0.0
75,1,261496122,www.tesco.com/groceries/en-GB/products/261496122,0.0
76,1,315585657,www.tesco.com/groceries/en-GB/products/315585657,0.0
77,1,308843314,www.tesco.com/groceries/en-GB/products/308843314,2.0
79,1,312848672,www.tesco.com/groceries/en-GB/products/312848672,2.0
80,1,325328693,https://www.tesco.com/groceries/en-GB/products/325328693,1.0
81,1,317407363,www.tesco.com/groceries/en-GB/products/317407363,2.0
82,1,291376645,www.tesco.com/groceries/en-GB/products/291376645,0.0
