,product_title,product_url,product_breadcrumb,date,price,unit_price,loyalty_price,original_price,store_id,product_category,product_subcategory,product_subcategory_2,gender_breadcrumb,gender_title,price_per_unit,unit,labelling 
18861,EVO Unicorn Ride-On,http://groceries.asda.com/product/travel--leisure/evo-unicorn-rideon/1000227127236,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,30,£30.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,30,unit,Aleksandra
18617,Hy-Pro Rugby Ball,http://groceries.asda.com/product/travel--leisure/hypro-rugby-ball/1000383141865,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,7.99,£7.99/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,7.99,unit,Aleksandra
8643,Hy-Pro Basketball,http://groceries.asda.com/product/travel--leisure/hypro-basketball/1000383141969,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,7.99,£7.99/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,7.99,unit,Aleksandra
16754,George Home Step Up Box,http://groceries.asda.com/product/travel--leisure/george-home-step-up-box/1000383187043,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,18,£18.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,18,unit,Aleksandra
17051,EVO 3 Wheel Scooter - Pink,http://groceries.asda.com/product/travel--leisure/evo--wheel-scooter--pink/1000383177438,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,25,£25.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,25,unit,Aleksandra
19304,CoComelon Bobble Ride On,http://groceries.asda.com/product/travel--leisure/cocomelon-bobble-ride-on/1000383108149,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,30,£30.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,30,unit,Aleksandra
5260,EVO Inline Scooter - Blue,http://groceries.asda.com/product/travel--leisure/evo-inline-scooter--blue/1000383251411,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,20,£20.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,20,unit,Aleksandra
18349,Travels Travel Pillow,http://groceries.asda.com/product/travel--leisure/travels-travel-pillow/1000158533121,& entertainment > travel & leisure > travel essentials > travel essentials,2/12/2025,3,£3.00/each,,,3,& entertainment,travel & leisure,travel essentials,neutral,neutral,3,unit,Aleksandra
11611,Hy-Pro Goal,http://groceries.asda.com/product/travel--leisure/hypro-goal/1000383141861,& entertainment > travel & leisure > fitness accessories > fitness accessories,2/12/2025,25,£25.00/each,,,3,& entertainment,travel & leisure,fitness accessories,neutral,neutral,25,unit,Aleksandra
4481,Russell Hobbs    22520 Auto Steam Iron Red,https://groceries.morrisons.com/products/russell-hobbs----22520-auto-steam-iron-red/108272569,& garden > laundry > cleaning & storage > ironing,2/12/2025,12,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
977,Morrisons Large Cutlery Tray Platinum,https://groceries.morrisons.com/products/morrisons-large-cutlery-tray-platinum/113280820,& garden > laundry > cleaning & storage > cleaning,1/21/2025,2.5,,,5,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
6867,Morrisons Spray Bottle 500ml Grey,https://groceries.morrisons.com/products/morrisons-spray-bottle-500ml-grey/113246963,& garden > laundry > cleaning & storage > cleaning,2/12/2025,1,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
6868,Morrisons 5 Litre Storage Box & Lid,https://groceries.morrisons.com/products/morrisons-5-litre-storage-box--lid/112457531,& garden > laundry > cleaning & storage > storage,2/12/2025,2.5,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
4383,Nutmeg Home Sink Plunger,https://groceries.morrisons.com/products/nutmeg-home-sink-plunger/113868076,& garden > laundry > cleaning & storage > cleaning,2/12/2025,2,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
4480,Nutmeg Home Bee Happy Seagrass Basket,https://groceries.morrisons.com/products/nutmeg-home-bee-happy-seagrass-basket/112502849,& garden > laundry > cleaning & storage > storage,2/12/2025,18,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
155,JML Phoenix Gold Iron,https://groceries.morrisons.com/products/jml-phoenix-gold-iron/114056416,& garden > laundry > cleaning & storage > ironing,1/7/2025,59.99,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
11769,Nutmeg Home Storage Caddy,https://groceries.morrisons.com/products/nutmeg-home-storage-caddy/113053539,& garden > laundry > cleaning & storage > storage,2/12/2025,4,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
4483,Nutmeg Home Hedgehog Door Stop,https://groceries.morrisons.com/products/nutmeg-home-hedgehog-door-stop/112493567,& garden > laundry > cleaning & storage > doormats & doorstops,2/12/2025,12,,,,4,& garden,laundry,cleaning & storage,neutral,neutral,,,Aleksandra
